C64,is_high_regime,high_regime_days,days_since_last_pm,C33,dslp_x_hour,hour,hour_x_c33,is_special_recipe
C64_10840,1,2.792623842592593,2.792623842592593,7.0,53.059853009259264,19,133.0,0
C64_10841,1,2.793944444444444,2.793944444444444,7.0,53.08494444444444,19,133.0,0
C64_10843,1,2.796548611111111,2.796548611111111,7.0,53.13442361111111,19,133.0,0
C64_10845,1,2.7991539351851853,2.7991539351851853,7.0,53.18392476851852,19,133.0,0
C64_10846,1,2.8004756944444447,2.8004756944444447,7.0,53.209038194444446,19,133.0,0
C64_10847,1,2.7647303240740744,2.7647303240740744,6.0,49.765145833333335,18,108.0,0
C64_1085,0,0.0,2.4491631944444445,7.0,24.491631944444446,10,70.0,0
C64_10875,1,2.7440289351851854,2.7440289351851854,6.0,46.64849189814815,17,102.0,0
C64_10876,1,2.750767361111111,2.750767361111111,6.0,49.5138125,18,108.0,0
C64_10877,1,2.7480925925925925,2.7480925925925925,6.0,46.71757407407407,17,102.0,0
C64_10878,1,2.745417824074074,2.745417824074074,6.0,46.67210300925926,17,102.0,0
C64_10879,1,2.7467372685185185,2.7467372685185185,6.0,46.69453356481481,17,102.0,0
C64_10881,1,2.752122685185185,2.752122685185185,6.0,49.53820833333333,18,108.0,0
C64_10882,1,2.7534421296296294,2.7534421296296294,6.0,49.56195833333333,18,108.0,0
C64_10883,1,2.754796296296296,2.754796296296296,6.0,49.58633333333333,18,108.0,0
C64_10886,1,2.758826388888889,2.758826388888889,6.0,49.658875,18,108.0,0
C64_10887,1,2.7263125,2.7263125,6.0,46.3473125,17,102.0,0
C64_10888,1,2.735621527777778,2.735621527777778,6.0,46.50556597222223,17,102.0,0
C64_10889,1,2.7278055555555554,2.7278055555555554,6.0,46.37269444444444,17,102.0,0
C64_10890,1,2.7291261574074075,2.7291261574074075,6.0,46.39514467592593,17,102.0,0
C64_10891,1,2.7304108796296296,2.7304108796296296,6.0,46.416984953703704,17,102.0,0
C64_10893,1,2.733016203703704,2.733016203703704,6.0,46.461275462962966,17,102.0,0
C64_10894,1,2.7343368055555555,2.7343368055555555,6.0,46.483725694444445,17,102.0,0
C64_10895,1,2.7369409722222224,2.7369409722222224,6.0,46.52799652777778,17,102.0,0
C64_10898,1,2.740875,2.740875,6.0,46.594875,17,102.0,0
C64_10899,1,2.7425381944444442,2.7425381944444442,6.0,46.62314930555555,17,102.0,0
C64_10925,1,2.7096400462962964,2.7096400462962964,6.0,46.063880787037036,17,102.0,0
C64_10926,1,2.7178020833333334,2.7178020833333334,6.0,46.202635416666666,17,102.0,0
C64_10929,1,2.7110983796296297,2.7110983796296297,6.0,46.08867245370371,17,102.0,0
C64_10930,1,2.7137766203703704,2.7137766203703704,6.0,46.134202546296294,17,102.0,0
C64_10931,1,2.716482638888889,2.716482638888889,6.0,46.180204861111115,17,102.0,0
C64_10934,1,2.721832175925926,2.721832175925926,6.0,46.27114699074074,17,102.0,0
C64_10935,1,2.7231863425925926,2.7231863425925926,6.0,46.29416782407407,17,102.0,0
C64_10937,1,2.691922453703704,2.691922453703704,6.0,43.07075925925926,16,96.0,0
C64_10938,1,2.705193287037037,2.705193287037037,6.0,43.283092592592595,16,96.0,0
C64_10940,1,2.693416666666667,2.693416666666667,6.0,43.09466666666667,16,96.0,0
C64_10942,1,2.696056712962963,2.696056712962963,6.0,43.136907407407406,16,96.0,0
C64_10943,1,2.6973425925925927,2.6973425925925927,6.0,43.15748148148148,16,96.0,0
C64_10944,1,2.699946759259259,2.699946759259259,6.0,43.19914814814815,16,96.0,0
C64_10946,1,2.7025532407407407,2.7025532407407407,6.0,43.24085185185185,16,96.0,0
C64_10947,1,2.703873842592593,2.703873842592593,6.0,43.261981481481484,16,96.0,0
C64_10948,1,2.7064780092592593,2.7064780092592593,6.0,43.30364814814815,16,96.0,0
C64_10949,1,2.708145833333333,2.708145833333333,6.0,43.33033333333333,16,96.0,0
C64_10973,1,2.676740740740741,2.676740740740741,6.0,42.827851851851854,16,96.0,0
C64_10974,1,2.6901574074074075,2.6901574074074075,6.0,43.04251851851852,16,96.0,0
C64_10976,1,2.6847662037037034,2.6847662037037034,6.0,42.956259259259255,16,96.0,0
C64_10977,1,2.6754212962962964,2.6754212962962964,6.0,42.80674074074074,16,96.0,0
C64_10978,1,2.6780613425925925,2.6780613425925925,6.0,42.84898148148148,16,96.0,0
C64_10979,1,2.6794155092592593,2.6794155092592593,6.0,42.87064814814815,16,96.0,0
C64_10981,1,2.6820914351851854,2.6820914351851854,6.0,42.91346296296297,16,96.0,0
C64_10983,1,2.686121527777778,2.686121527777778,6.0,42.97794444444445,16,96.0,0
C64_10984,1,2.654405092592593,2.654405092592593,6.0,39.816076388888895,15,90.0,0
C64_10985,1,2.673440972222222,2.673440972222222,6.0,42.775055555555554,16,96.0,0
C64_10987,1,2.670175925925926,2.670175925925926,6.0,42.72281481481482,16,96.0,0
C64_10988,1,2.6693414351851854,2.6693414351851854,6.0,42.70946296296297,16,96.0,0
C64_10990,1,2.662707175925926,2.662707175925926,6.0,39.94060763888889,15,90.0,0
C64_10991,1,2.6618738425925925,2.6618738425925925,6.0,39.92810763888889,15,90.0,0
C64_10992,1,2.661074074074074,2.661074074074074,6.0,39.916111111111114,15,90.0,0
C64_10993,1,2.653537037037037,2.653537037037037,6.0,39.80305555555555,15,90.0,0
C64_10994,1,2.655238425925926,2.655238425925926,6.0,39.82857638888889,15,90.0,0
C64_10995,1,2.656072916666667,2.656072916666667,6.0,39.841093750000006,15,90.0,0
C64_10997,1,2.6577407407407407,2.6577407407407407,6.0,39.86611111111111,15,90.0,0
C64_10998,1,2.658539351851852,2.658539351851852,6.0,39.87809027777778,15,90.0,0
C64_10999,1,2.659407407407407,2.659407407407407,6.0,39.89111111111111,15,90.0,0
C64_11,0,0.0,0.559792824074074,4.0,7.277306712962963,13,52.0,0
C64_11000,1,2.6602407407407407,2.6602407407407407,6.0,39.90361111111111,15,90.0,0
C64_11002,1,2.665212962962963,2.665212962962963,6.0,39.97819444444445,15,90.0,0
C64_11003,1,2.666048611111111,2.666048611111111,6.0,39.99072916666667,15,90.0,0
C64_11006,1,2.668508101851852,2.668508101851852,6.0,42.69612962962963,16,96.0,0
C64_11008,1,2.6718090277777775,2.6718090277777775,6.0,42.74894444444444,16,96.0,0
C64_11010,1,2.6359618055555556,2.6359618055555556,6.0,39.53942708333334,15,90.0,0
C64_11011,1,2.6320706018518516,2.6320706018518516,6.0,39.481059027777775,15,90.0,0
C64_11012,1,2.633357638888889,2.633357638888889,6.0,39.50036458333334,15,90.0,0
C64_11014,1,2.63728125,2.63728125,6.0,39.55921875,15,90.0,0
C64_11017,1,2.6412060185185187,2.6412060185185187,6.0,39.61809027777778,15,90.0,0
C64_11018,1,2.6424907407407408,2.6424907407407408,6.0,39.63736111111111,15,90.0,0
C64_11019,1,2.6438113425925924,2.6438113425925924,6.0,39.65717013888889,15,90.0,0
C64_11020,1,2.6450960648148145,2.6450960648148145,6.0,39.67644097222222,15,90.0,0
C64_11021,1,2.6462430555555554,2.6462430555555554,6.0,39.69364583333333,15,90.0,0
C64_11048,1,2.6287708333333333,2.6287708333333333,6.0,39.4315625,15,90.0,0
C64_11050,1,2.6260949074074076,2.6260949074074076,6.0,39.391423611111115,15,90.0,0
C64_11053,1,2.6153622685185183,2.6153622685185183,6.0,36.61507175925926,14,84.0,0
C64_11054,1,2.618037037037037,2.618037037037037,6.0,36.65251851851852,14,84.0,0
C64_11055,1,2.6193912037037035,2.6193912037037035,6.0,36.67147685185185,14,84.0,0
C64_11056,1,2.6220659722222224,2.6220659722222224,6.0,36.70892361111111,14,84.0,0
C64_11057,1,2.6234201388888887,2.6234201388888887,6.0,36.72788194444444,14,84.0,0
C64_11058,1,2.624739583333333,2.624739583333333,6.0,36.74635416666666,14,84.0,0
C64_11071,1,2.5918796296296294,2.5918796296296294,6.0,36.28631481481481,14,84.0,0
C64_11077,1,2.5972986111111114,2.5972986111111114,6.0,36.36218055555556,14,84.0,0
C64_11079,1,2.594695601851852,2.594695601851852,6.0,36.32573842592593,14,84.0,0
C64_11080,1,2.595979166666667,2.595979166666667,6.0,36.34370833333334,14,84.0,0
C64_11082,1,2.602509259259259,2.602509259259259,6.0,36.43512962962963,14,84.0,0
C64_11083,1,2.6037951388888887,2.6037951388888887,6.0,36.45313194444444,14,84.0,0
C64_11097,1,2.575380787037037,2.575380787037037,6.0,33.47995023148148,13,78.0,0
C64_11099,1,2.5860451388888888,2.5860451388888888,6.0,36.20463194444444,14,84.0,0
C64_11100,1,2.5833703703703703,2.5833703703703703,6.0,36.16718518518518,14,84.0,0
C64_11101,1,2.5780219907407407,2.5780219907407407,6.0,33.514285879629625,13,78.0,0
C64_11105,1,2.5820150462962963,2.5820150462962963,6.0,33.56619560185185,13,78.0,0
C64_11106,1,2.584724537037037,2.584724537037037,6.0,36.18614351851852,14,84.0,0
C64_11108,1,2.5387337962962966,2.5387337962962966,6.0,30.464805555555557,12,72.0,0
C64_1111,0,0.0,2.386079861111111,7.0,21.474718749999997,9,63.0,0
C64_11110,1,2.550965277777778,2.550965277777778,6.0,33.16254861111111,13,78.0,0
C64_11112,1,2.5402280092592595,2.5402280092592595,6.0,30.482736111111116,12,72.0,0
C64_11113,1,2.541548611111111,2.541548611111111,6.0,30.498583333333336,12,72.0,0
C64_11114,1,2.5429027777777775,2.5429027777777775,6.0,33.057736111111105,13,78.0,0
C64_11115,1,2.5442569444444443,2.5442569444444443,6.0,33.07534027777778,13,78.0,0
