number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_child_samples,params_min_split_gain,params_num_leaves,user_attrs_mean_best_iter,state
40,68.05147467077897,2026-07-16 11:18:14.375939,2026-07-16 11:18:21.036139,0 days 00:00:06.660200,0.5699777872410617,1,0.6319168247456615,0.0010134446798603573,6.6650935698651805,0.020256231425789056,80,0.6494195447718325,37,,PRUNED
41,67.21878838621615,2026-07-16 11:18:21.036139,2026-07-16 11:18:38.649754,0 days 00:00:17.613615,0.5393094954419793,1,0.6841018515515365,0.0016521659244201946,3.2815831950704437,0.010503601168046772,95,0.5628233927914688,44,443.0,COMPLETE
42,68.00420520799352,2026-07-16 11:18:38.649754,2026-07-16 11:18:50.330238,0 days 00:00:11.680484,0.52589792291715,1,0.6907773967230606,0.0014730757068272366,2.8006093290151104,0.01037262164018578,93,0.6848452369016214,55,,PRUNED
43,67.23561391709198,2026-07-16 11:18:50.330238,2026-07-16 11:19:03.243694,0 days 00:00:12.913456,0.5019940785321995,2,0.7838370704161164,0.0014896255125470173,4.919725309205048,0.01476738665667477,94,0.4196540240057651,41,324.0,COMPLETE
44,67.15580058388225,2026-07-16 11:19:03.243694,2026-07-16 11:19:20.536234,0 days 00:00:17.292540,0.5029671367982043,2,0.7541264546946947,0.004950891824706746,0.8767785137567445,0.009084107808778106,96,0.41191777304862276,31,514.0,COMPLETE
45,68.001549236527,2026-07-16 11:19:20.536234,2026-07-16 11:19:31.778283,0 days 00:00:11.242049,0.5003093222051241,2,0.7578792727361443,0.004657693198077501,0.931444147353826,0.009426934514025695,96,0.41216417210360423,34,,PRUNED
46,68.01366454792051,2026-07-16 11:19:31.778283,2026-07-16 11:19:46.361876,0 days 00:00:14.583593,0.5234465646350216,2,0.6796974639539953,0.010779141393265261,1.7832006266656923,0.0070104529865719885,96,0.5026310090875903,68,,PRUNED
47,68.03369542714942,2026-07-16 11:19:46.361876,2026-07-16 11:20:01.581852,0 days 00:00:15.219976,0.5209282193405714,1,0.6133680979131022,0.003229363529725214,0.9518037117729158,0.0061689527251685625,100,0.4206808231461837,32,,PRUNED
48,67.26933907232535,2026-07-16 11:20:01.581852,2026-07-16 11:20:19.156385,0 days 00:00:17.574533,0.5019216110788882,2,0.8418395146937687,0.022482581339987106,2.9784420962352565,0.011199309781748278,84,0.4238776498276404,53,422.0,COMPLETE
49,66.77142526758138,2026-07-16 11:20:19.156385,2026-07-16 11:20:29.309810,0 days 00:00:10.153425,0.5629869996409884,1,0.7431629423564594,0.0054624723232922405,0.6655234539622211,0.018419428933752598,93,0.5034181630529109,88,,PRUNED
50,67.25918529444903,2026-07-16 11:20:29.309810,2026-07-16 11:20:49.307344,0 days 00:00:19.997534,0.5401544309375504,1,0.7807912197306133,0.0026332659145921382,0.270216199722708,0.009377497039324119,87,0.3370274059577482,39,477.0,COMPLETE
51,67.29371567246734,2026-07-16 11:20:49.307344,2026-07-16 11:21:09.814289,0 days 00:00:20.506945,0.5456936433878986,1,0.7837556524574202,0.002432329985369416,0.31000212048814574,0.009086891213419213,86,0.3159296995346732,40,486.0,COMPLETE
52,67.99174166602579,2026-07-16 11:21:09.814289,2026-07-16 11:21:26.607864,0 days 00:00:16.793575,0.5268133725128454,1,0.8187732033276017,0.006665660905711444,0.1531744693773184,0.007244180782079543,91,0.4710230697976479,58,,PRUNED
53,68.04372837626433,2026-07-16 11:21:26.607864,2026-07-16 11:21:36.726301,0 days 00:00:10.118437,0.5713939247429152,2,0.7781359552390197,0.0027716227997881715,9.614387313254525,0.010567972471907841,97,0.3759783607412449,245,,PRUNED
54,68.02563092389852,2026-07-16 11:21:36.726301,2026-07-16 11:21:47.870017,0 days 00:00:11.143716,0.5211496624111428,1,0.7350338687587021,0.001258390280602694,0.3516114700672922,0.012073653429835695,85,0.32228527701244253,65,,PRUNED
55,67.18144891641629,2026-07-16 11:21:47.870017,2026-07-16 11:22:05.174281,0 days 00:00:17.304264,0.5004709346923849,2,0.8605080882633106,0.0045038608285789695,0.7606533023956408,0.008958505437328254,92,0.5439536878634853,31,514.0,COMPLETE
56,67.97977460949495,2026-07-16 11:22:05.174281,2026-07-16 11:22:23.461872,0 days 00:00:18.287591,0.5105679128775142,2,0.9048454940243432,0.014699020800236502,1.579409296851058,0.00613519380207517,93,0.5377833413095165,55,,PRUNED
57,67.9793426882578,2026-07-16 11:22:23.461872,2026-07-16 11:22:31.727654,0 days 00:00:08.265782,0.5984053392956575,2,0.8662346798382395,0.007901047892319407,0.7534098127910132,0.015766590318413588,81,0.6115360766810523,32,,PRUNED
58,68.18886378838472,2026-07-16 11:22:31.727654,2026-07-16 11:22:40.658401,0 days 00:00:08.930747,0.5558665264443832,3,0.9140770689202075,0.00496000261515829,2.627735685795084,0.013148809574268516,100,0.47756710547897024,227,,PRUNED
59,67.27211304195458,2026-07-16 11:22:40.658401,2026-07-16 11:22:56.897647,0 days 00:00:16.239246,0.5006117225920639,2,0.8280988766275478,0.00441488215301805,4.678685036842779,0.014596960716949553,69,0.5518715114393484,83,320.0,COMPLETE
60,68.45344089771399,2026-07-16 11:22:56.897647,2026-07-16 11:23:24.199625,0 days 00:00:27.301978,0.999268232787737,2,0.6914492703108266,0.0010006517588417427,4.188185162689828,0.005478124062659021,97,0.3931022076954318,180,,PRUNED
61,68.02335343164202,2026-07-16 11:23:24.199625,2026-07-16 11:23:38.478133,0 days 00:00:14.278508,0.5417182731440058,1,0.7912659379567027,0.0018535507211708078,0.16054977416745475,0.008930746488210807,87,0.2337808737648016,41,,PRUNED
62,67.22582309059653,2026-07-16 11:23:38.478133,2026-07-16 11:23:56.605883,0 days 00:00:18.127750,0.5190558546302336,1,0.6621162854716753,0.0027226704522563014,0.07100745261095788,0.010898918663941392,90,0.6225943511501821,38,418.0,COMPLETE
63,67.20209550764741,2026-07-16 11:23:56.605883,2026-07-16 11:24:15.701835,0 days 00:00:19.095952,0.5147647251022005,1,0.6599924234582302,0.0015193082859413952,0.0355847527934429,0.010918917608856759,92,0.6177820548075648,55,424.0,COMPLETE
64,67.24077590756693,2026-07-16 11:24:15.701835,2026-07-16 11:24:34.900139,0 days 00:00:19.198304,0.5149803683832048,2,0.6561125835793951,0.0013067277419745085,0.03485021080576946,0.010900769538614102,93,0.6201570336652484,55,428.0,COMPLETE
65,68.03381823170139,2026-07-16 11:24:34.900139,2026-07-16 11:24:51.040114,0 days 00:00:16.139975,0.5176332564574242,1,0.5889681729980877,0.004335675916425962,0.023982040276128092,0.007761902761339592,91,0.678410436450555,255,,PRUNED
66,67.99378105250615,2026-07-16 11:24:51.040114,2026-07-16 11:25:08.743939,0 days 00:00:17.703825,0.5686068947336486,3,0.6348533860146419,0.009655214876410946,0.06099828241314429,0.0069759080108429015,97,0.805423757034709,69,,PRUNED
67,67.18987393438378,2026-07-16 11:25:08.743939,2026-07-16 11:25:24.742915,0 days 00:00:15.998976,0.5001037165141071,2,0.6692969815144464,4.871904320620156,0.11497710665107091,0.010015004365823884,90,0.44475842140938326,31,444.0,COMPLETE
68,67.17776552789728,2026-07-16 11:25:24.742915,2026-07-16 11:25:41.951907,0 days 00:00:17.208992,0.5565476832854724,1,0.666649611643882,3.7465084037055765,0.006972807276299616,0.01002388241257472,90,0.5007507794284323,31,467.0,COMPLETE
69,67.1748650861192,2026-07-16 11:25:41.951907,2026-07-16 11:25:59.510044,0 days 00:00:17.558137,0.5523634687913861,3,0.6917974829886229,4.2312283827568455,0.007523308705978473,0.009945006870335222,83,0.45012722587143833,31,475.0,COMPLETE
70,66.75408106355518,2026-07-16 11:25:59.510044,2026-07-16 11:26:17.253964,0 days 00:00:17.743920,0.6254782450179394,3,0.613640358316983,2.5987689833387906,0.006205791437454406,0.008755233252691117,18,0.44886341895543846,31,,PRUNED
71,66.80167191922088,2026-07-16 11:26:17.253964,2026-07-16 11:26:38.103819,0 days 00:00:20.849855,0.5512831673282335,3,0.6794860812087776,5.342063278276946,0.0023157380403729536,0.00954476998506607,80,0.4904985386486038,50,,PRUNED
72,67.25299522259874,2026-07-16 11:26:38.103819,2026-07-16 11:26:58.328973,0 days 00:00:20.225154,0.5331009864827916,4,0.6992252243853972,5.040575225491716,0.007554618677005078,0.007883960483929753,82,0.4509293545072248,31,578.0,COMPLETE
73,67.96915171480855,2026-07-16 11:26:58.328973,2026-07-16 11:27:19.105856,0 days 00:00:20.776883,0.5781751151865991,1,0.6495169033358122,2.5880144021676643,0.021256852088838755,0.00665969226781993,85,0.5858841847427593,61,,PRUNED
74,68.06266720669561,2026-07-16 11:27:19.105856,2026-07-16 11:27:30.619854,0 days 00:00:11.513998,0.5550724908885935,2,0.6313586773764033,1.826394332891869,0.004728361047719283,0.01353158815536238,90,0.5232331329562688,50,,PRUNED
75,68.22856099373631,2026-07-16 11:27:30.619854,2026-07-16 11:27:42.208174,0 days 00:00:11.588320,0.8880487439583011,3,0.5956960706658435,8.995399818966304,0.10311315016944197,0.010327398286033329,95,0.5662300465805239,38,,PRUNED
76,68.00177906830868,2026-07-16 11:27:42.208174,2026-07-16 11:27:56.358144,0 days 00:00:14.149970,0.5323194867637723,1,0.6713098250075907,0.7201550796584615,0.01412927603769437,0.008306348805180224,98,0.5190631702292056,45,,PRUNED
77,68.0759384910802,2026-07-16 11:27:56.358144,2026-07-16 11:28:10.111691,0 days 00:00:13.753547,0.6103794360810588,2,0.5597757445818919,3.7424855580162752,0.009350072487281383,0.011328610510086937,88,0.44626981458724196,51,,PRUNED
78,68.55551892032285,2026-07-16 11:28:10.111691,2026-07-16 11:28:26.236334,0 days 00:00:16.124643,0.8480733034859868,5,0.931879885540955,0.2078583616821869,0.0019066402455169109,0.010127434269995746,79,0.3895993566570133,60,,PRUNED
79,67.97085246957188,2026-07-16 11:28:26.236334,2026-07-16 11:28:40.411984,0 days 00:00:14.175650,0.585507479596249,1,0.7375377954094425,2.637123893966715,0.035744238957725535,0.0076200500289344735,91,0.6827880631989327,38,,PRUNED
